step,intersection_id,phase,total_queue_length,avg_waiting_time
102,INT_02,NS_GREEN,1,4.181818181818182
103,INT_01,NS_GREEN,2,7.583333333333333
103,INT_02,NS_GREEN,1,4.181818181818182
104,INT_01,NS_GREEN,3,7.583333333333333
104,INT_02,NS_GREEN,1,4.181818181818182
105,INT_01,EW_GREEN,3,7.657894736842105
105,INT_02,NS_GREEN,2,4.0588235294117645
106,INT_01,EW_GREEN,3,7.657894736842105
106,INT_02,NS_GREEN,2,4.0588235294117645
107,INT_01,EW_GREEN,3,7.657894736842105
107,INT_02,NS_GREEN,2,4.0588235294117645
108,INT_01,EW_GREEN,2,7.641025641025641
108,INT_02,NS_GREEN,2,4.0588235294117645
109,INT_01,EW_GREEN,1,7.55
109,INT_02,NS_GREEN,2,3.942857142857143
110,INT_01,EW_GREEN,1,7.55
110,INT_02,EW_GREEN,2,4.111111111111111
111,INT_01,EW_GREEN,2,7.55
111,INT_02,EW_GREEN,3,4.0
112,INT_01,EW_GREEN,2,7.55
112,INT_02,EW_GREEN,2,4.078947368421052
113,INT_01,EW_GREEN,2,7.55
113,INT_02,EW_GREEN,1,3.925
114,INT_01,EW_GREEN,3,7.55
114,INT_02,EW_GREEN,2,3.925
115,INT_01,EW_GREEN,2,7.390243902439025
115,INT_02,EW_GREEN,1,3.8536585365853657
116,INT_01,EW_GREEN,2,7.390243902439025
116,INT_02,EW_GREEN,1,3.8536585365853657
117,INT_01,EW_GREEN,2,7.390243902439025
117,INT_02,EW_GREEN,1,3.8536585365853657
118,INT_01,EW_GREEN,2,7.390243902439025
118,INT_02,EW_GREEN,1,3.8536585365853657
119,INT_01,EW_GREEN,2,7.390243902439025
119,INT_02,EW_GREEN,1,3.8536585365853657
120,INT_01,NS_GREEN,1,7.627906976744186
120,INT_02,NS_GREEN,1,3.8536585365853657
121,INT_01,NS_GREEN,1,7.627906976744186
121,INT_02,NS_GREEN,0,4.023809523809524
122,INT_01,NS_GREEN,0,7.5
122,INT_02,NS_GREEN,0,4.023809523809524
123,INT_01,NS_GREEN,0,7.5
123,INT_02,NS_GREEN,0,4.023809523809524
124,INT_01,NS_GREEN,0,7.5
124,INT_02,NS_GREEN,0,3.9302325581395348
125,INT_01,NS_GREEN,0,7.5
125,INT_02,NS_GREEN,0,3.9302325581395348
126,INT_01,NS_GREEN,1,7.5
126,INT_02,NS_GREEN,0,3.9302325581395348
127,INT_01,NS_GREEN,1,7.5
127,INT_02,NS_GREEN,1,3.9302325581395348
128,INT_01,NS_GREEN,1,7.5
128,INT_02,NS_GREEN,1,3.9302325581395348
129,INT_01,NS_GREEN,2,7.5
129,INT_02,NS_GREEN,1,3.9302325581395348
130,INT_01,NS_GREEN,2,7.5
130,INT_02,EW_GREEN,1,3.909090909090909
131,INT_01,NS_GREEN,1,7.377777777777778
131,INT_02,EW_GREEN,1,3.8444444444444446
132,INT_01,NS_GREEN,1,7.377777777777778
132,INT_02,EW_GREEN,1,3.8444444444444446
133,INT_01,NS_GREEN,1,7.377777777777778
